datetime,Daily_peak_wind,SustainedWindSpeed,airport
2007-08-13,32.0,25.0,montrose
2007-08-14,31.0,25.0,montrose
2007-08-15,17.0,15.0,montrose
2007-08-16,28.0,22.0,montrose
2007-08-17,23.0,17.0,montrose
2007-08-18,25.0,18.0,montrose
2007-08-19,26.0,23.0,montrose
2007-08-20,17.0,13.0,montrose
2007-08-21,,17.0,montrose
2007-08-22,29.0,21.0,montrose
2007-08-23,38.0,26.0,montrose
2007-08-24,32.0,25.0,montrose
2007-08-25,16.0,13.0,montrose
2007-08-26,36.0,29.0,montrose
2007-08-27,22.0,17.0,montrose
2007-08-28,14.0,10.0,montrose
2007-08-29,33.0,24.0,montrose
2007-08-30,22.0,16.0,montrose
2007-09-01,20.0,13.0,montrose
2007-09-02,25.0,20.0,montrose
2007-09-03,26.0,21.0,montrose
2007-09-04,29.0,24.0,montrose
2007-09-05,28.0,22.0,montrose
2007-09-06,20.0,15.0,montrose
2007-09-07,21.0,15.0,montrose
2007-09-08,16.0,14.0,montrose
2007-09-09,35.0,24.0,montrose
2007-09-10,21.0,16.0,montrose
2007-09-11,23.0,20.0,montrose
2007-09-12,26.0,22.0,montrose
2007-09-13,20.0,15.0,montrose
2007-09-14,33.0,22.0,montrose
2007-09-15,25.0,18.0,montrose
2007-09-16,32.0,24.0,montrose
2007-09-17,38.0,23.0,montrose
2007-09-18,14.0,13.0,montrose
2007-09-19,26.0,21.0,montrose
2007-09-20,29.0,22.0,montrose
2007-09-21,16.0,14.0,montrose
2007-09-22,43.0,31.0,montrose
2007-09-23,35.0,24.0,montrose
2007-09-24,33.0,23.0,montrose
2007-09-25,16.0,10.0,montrose
2007-09-26,16.0,13.0,montrose
2007-09-27,14.0,12.0,montrose
2007-09-28,28.0,21.0,montrose
2007-09-29,54.0,38.0,montrose
2007-10-02,,18.0,montrose
2007-10-03,20.0,15.0,montrose
2007-10-04,26.0,20.0,montrose
2007-10-05,35.0,23.0,montrose
2007-10-06,44.0,30.0,montrose
2007-10-07,30.0,26.0,montrose
2007-10-08,,18.0,montrose
2007-10-09,15.0,14.0,montrose
2007-10-10,23.0,17.0,montrose
2007-10-11,16.0,15.0,montrose
2007-10-12,14.0,12.0,montrose
2007-10-13,28.0,21.0,montrose
2007-10-14,30.0,24.0,montrose
2007-10-15,16.0,13.0,montrose
2007-10-16,29.0,23.0,montrose
2007-10-17,32.0,25.0,montrose
2007-10-18,14.0,10.0,montrose
2007-10-19,14.0,13.0,montrose
2007-10-20,51.0,38.0,montrose
2007-10-21,33.0,25.0,montrose
2007-10-22,17.0,14.0,montrose
2007-10-23,29.0,26.0,montrose
2007-10-24,13.0,9.0,montrose
2007-10-25,15.0,13.0,montrose
2007-10-26,28.0,14.0,montrose
2007-10-27,13.0,12.0,montrose
2007-10-28,16.0,14.0,montrose
2007-10-29,,13.0,montrose
2007-10-30,36.0,25.0,montrose
2007-11-01,15.0,12.0,montrose
2007-11-02,17.0,13.0,montrose
2007-11-03,25.0,13.0,montrose
2007-11-04,15.0,12.0,montrose
2007-11-05,16.0,15.0,montrose
2007-11-06,30.0,15.0,montrose
2007-11-07,17.0,13.0,montrose
2007-11-08,23.0,14.0,montrose
2007-11-09,16.0,15.0,montrose
2007-11-10,17.0,13.0,montrose
2007-11-11,30.0,21.0,montrose
2007-11-12,29.0,12.0,montrose
2007-11-13,16.0,12.0,montrose
2007-11-14,18.0,14.0,montrose
2007-11-15,31.0,23.0,montrose
2007-11-16,15.0,10.0,montrose
2007-11-17,,22.0,montrose
2007-11-18,14.0,13.0,montrose
2007-11-19,28.0,21.0,montrose
2007-11-20,43.0,33.0,montrose
2007-11-21,37.0,29.0,montrose
2007-11-22,13.0,10.0,montrose
2007-11-23,22.0,18.0,montrose
2007-11-24,35.0,24.0,montrose
2007-11-25,,15.0,montrose
2007-11-26,30.0,16.0,montrose
2007-11-27,31.0,18.0,montrose
2007-11-28,29.0,24.0,montrose
2007-11-29,25.0,24.0,montrose
2007-12-01,45.0,38.0,montrose
2007-12-02,32.0,31.0,montrose
2007-12-03,12.0,10.0,montrose
2007-12-04,,26.0,montrose
2007-12-05,12.0,9.0,montrose
2007-12-06,,17.0,montrose
2007-12-07,,14.0,montrose
2007-12-08,24.0,18.0,montrose
2007-12-09,29.0,26.0,montrose
2007-12-10,29.0,22.0,montrose
2007-12-11,14.0,12.0,montrose
2007-12-12,10.0,8.0,montrose
2007-12-13,15.0,12.0,montrose
2007-12-14,33.0,30.0,montrose
2007-12-15,,24.0,montrose
2007-12-16,21.0,14.0,montrose
2007-12-17,26.0,20.0,montrose
2007-12-18,28.0,23.0,montrose
2007-12-19,,16.0,montrose
2007-12-20,29.0,20.0,montrose
2007-12-21,36.0,28.0,montrose
2007-12-22,30.0,28.0,montrose
2007-12-23,28.0,9.0,montrose
2007-12-24,28.0,17.0,montrose
2007-12-25,29.0,26.0,montrose
2007-12-26,28.0,20.0,montrose
2007-12-27,24.0,20.0,montrose
2007-12-28,,21.0,montrose
2007-12-29,28.0,26.0,montrose
2007-12-30,26.0,21.0,montrose
2008-01-01,,12.0,montrose
2008-01-02,21.0,12.0,montrose
2008-01-03,,24.0,montrose
2008-01-04,16.0,12.0,montrose
2008-01-05,41.0,32.0,montrose
2008-01-06,37.0,29.0,montrose
2008-01-07,13.0,13.0,montrose
2008-01-08,14.0,12.0,montrose
2008-01-09,10.0,9.0,montrose
2008-01-10,13.0,10.0,montrose
2008-01-11,10.0,9.0,montrose
2008-01-12,,26.0,montrose
2008-01-13,13.0,12.0,montrose
2008-01-14,29.0,28.0,montrose
2008-01-15,28.0,22.0,montrose
2008-01-16,,24.0,montrose
2008-01-17,26.0,24.0,montrose
2008-01-18,35.0,30.0,montrose
2008-01-19,30.0,29.0,montrose
2008-01-20,26.0,20.0,montrose
2008-01-21,38.0,28.0,montrose
2008-01-22,,23.0,montrose
2008-01-23,13.0,12.0,montrose
2008-01-24,37.0,24.0,montrose
2008-01-25,21.0,15.0,montrose
2008-01-26,12.0,10.0,montrose
2008-01-27,36.0,30.0,montrose
2008-01-28,49.0,35.0,montrose
2008-01-29,20.0,16.0,montrose
2008-01-30,32.0,25.0,montrose
2008-02-01,20.0,16.0,montrose
2008-02-02,9.0,8.0,montrose
2008-02-03,39.0,30.0,montrose
