datetime,Daily_peak_wind,SustainedWindSpeed,airport
2007-03-06,21.0,18.0,aspen
2007-03-07,15.0,13.0,aspen
2007-03-08,39.0,30.0,aspen
2007-03-09,13.0,10.0,aspen
2007-03-10,20.0,13.0,aspen
2007-03-11,12.0,10.0,aspen
2007-03-12,13.0,12.0,aspen
2007-03-13,13.0,12.0,aspen
2007-03-14,18.0,15.0,aspen
2007-03-15,29.0,20.0,aspen
2007-03-16,18.0,14.0,aspen
2007-03-17,22.0,15.0,aspen
2007-03-18,23.0,15.0,aspen
2007-03-19,26.0,21.0,aspen
2007-03-20,24.0,17.0,aspen
2007-03-21,30.0,24.0,aspen
2007-03-22,17.0,14.0,aspen
2007-03-23,18.0,13.0,aspen
2007-03-24,10.0,9.0,aspen
2007-03-25,16.0,10.0,aspen
2007-03-26,29.0,22.0,aspen
2007-03-27,39.0,28.0,aspen
2007-03-28,29.0,20.0,aspen
2007-03-29,20.0,15.0,aspen
2007-03-30,25.0,17.0,aspen
2007-04-01,28.0,17.0,aspen
2007-04-02,33.0,22.0,aspen
2007-04-03,30.0,20.0,aspen
2007-04-04,30.0,22.0,aspen
2007-04-05,25.0,20.0,aspen
2007-04-06,31.0,18.0,aspen
2007-04-07,32.0,22.0,aspen
2007-04-08,25.0,15.0,aspen
2007-04-09,26.0,18.0,aspen
2007-04-10,39.0,26.0,aspen
2007-04-11,22.0,16.0,aspen
2007-04-12,20.0,15.0,aspen
2007-04-13,28.0,21.0,aspen
2007-04-14,21.0,15.0,aspen
2007-04-15,39.0,31.0,aspen
2007-04-16,39.0,30.0,aspen
2007-04-17,16.0,13.0,aspen
2007-04-18,41.0,31.0,aspen
2007-04-19,23.0,17.0,aspen
2007-04-20,31.0,23.0,aspen
2007-04-21,26.0,20.0,aspen
2007-04-22,26.0,24.0,aspen
2007-04-23,40.0,31.0,aspen
2007-04-24,21.0,13.0,aspen
2007-04-25,16.0,12.0,aspen
2007-04-26,32.0,24.0,aspen
2007-04-27,26.0,17.0,aspen
2007-04-29,28.0,22.0,aspen
2007-05-01,33.0,28.0,aspen
2007-05-02,33.0,28.0,aspen
2007-05-03,46.0,32.0,aspen
2007-05-04,28.0,21.0,aspen
2007-05-05,20.0,16.0,aspen
2007-05-06,14.0,13.0,aspen
2007-05-07,22.0,17.0,aspen
2007-05-08,21.0,16.0,aspen
2007-05-09,40.0,28.0,aspen
2007-05-10,23.0,16.0,aspen
2007-05-11,23.0,17.0,aspen
2007-05-12,28.0,22.0,aspen
2007-05-13,28.0,20.0,aspen
2007-05-14,33.0,21.0,aspen
2007-05-15,22.0,15.0,aspen
2007-05-16,21.0,16.0,aspen
2007-05-17,26.0,20.0,aspen
2007-05-18,23.0,18.0,aspen
2007-05-19,29.0,21.0,aspen
2007-05-20,28.0,22.0,aspen
2007-05-21,36.0,24.0,aspen
2007-05-22,32.0,25.0,aspen
2007-05-23,24.0,16.0,aspen
2007-05-25,24.0,18.0,aspen
2007-05-26,32.0,21.0,aspen
2007-05-27,23.0,16.0,aspen
2007-05-28,24.0,17.0,aspen
2007-05-29,,,aspen
2007-05-30,21.0,15.0,aspen
2007-06-01,26.0,18.0,aspen
2007-06-02,25.0,18.0,aspen
2007-06-03,31.0,22.0,aspen
2007-06-04,30.0,21.0,aspen
2007-06-05,33.0,21.0,aspen
2007-06-06,43.0,32.0,aspen
2007-06-07,30.0,18.0,aspen
2007-06-08,23.0,17.0,aspen
2007-06-09,39.0,23.0,aspen
2007-06-10,24.0,15.0,aspen
2007-06-11,31.0,23.0,aspen
